id	precision	name	storage	standard	purpose	range	eigenvectors	method	note
1	c	hetrd	full	yes	reduce to real tridiagonal	none	none		
2	z	hetrd	full	yes	reduce to real tridiagonal	none	none		
3	s	sterf	full	yes	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call CHETRD first
4	d	sterf	full	yes	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call ZHETRD first
5	s	stebz	full	yes	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call CHETRD first;order
6	d	stebz	full	yes	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call ZHETRD first;order
7	c	ungtr	full	yes	generate Q	none	none		
8	z	ungtr	full	yes	generate Q	none	none		
9	c	steqr	full	yes	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call CHETRD and CUNGTR first
10	z	steqr	full	yes	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call ZHETRD and ZUNGTR first
11	c	stedc	full	yes	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call CHETRD and CUNGTR first
12	z	stedc	full	yes	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call ZHETRD and ZUNGTR first
13	c	unmtr	full	yes	multiply by Q	none	none		
14	z	unmtr	full	yes	multiply by Q	none	none		
15	c	stegr	full	yes	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call CHETRD before and CUNMTR after for eigenvectors of original matrix
16	z	stegr	full	yes	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call ZHETRD before and ZUNMTR after for eigenvectors of original matrix
17	c	stein	full	yes	eigenvectors for given eigenvalues	none	both	inverse iteration	call CHETRD before and CUNMTR after for eigenvectors of original matrix;designed to be used with SSTEBZ
18	z	stein	full	yes	eigenvectors for given eigenvalues	none	both	inverse iteration	call ZHETRD before and ZUNMTR after for eigenvectors of original matrix;designed to be used with DSTEBZ
19	c	hptrd	packed	yes	reduce to real tridiagonal	none	none		
20	z	hptrd	packed	yes	reduce to real tridiagonal	none	none		
21	s	sterf	packed	yes	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call CHPTRD first
22	d	sterf	packed	yes	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call ZHPTRD first
23	s	stebz	packed	yes	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call CHPTRD first;order
24	d	stebz	packed	yes	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call ZHPTRD first;order
25	c	upgtr	packed	yes	generate Q	none	none		
26	z	upgtr	packed	yes	generate Q	none	none		
27	c	steqr	packed	yes	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call CHPTRD and CUPGTR first
28	z	steqr	packed	yes	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call ZHPTRD and ZUPGTR first
29	c	stedc	packed	yes	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call CHPTRD and CUPGTR first
30	z	stedc	packed	yes	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call ZHPTRD and ZUPGTR first
31	c	upmtr	packed	yes	multiply by Q	none	none		
32	z	upmtr	packed	yes	multiply by Q	none	none		
33	c	stegr	packed	yes	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call CHPTRD before and CUPMTR after for eigenvectors of original matrix
34	z	stegr	packed	yes	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call ZHPTRD before and ZUPMTR after for eigenvectors of original matrix
35	c	stein	packed	yes	eigenvectors for given eigenvalues	none	both	inverse iteration	call CHPTRD before and CUPMTR after for eigenvectors of original matrix;designed to be used with SSTEBZ
36	z	stein	packed	yes	eigenvectors for given eigenvalues	none	both	inverse iteration	call ZHPTRD before and ZUPMTR after for eigenvectors of original matrix;designed to be used with DSTEBZ
37	c	hbtrd	band	yes	reduce to real tridiagonal	none	none		
38	z	hbtrd	band	yes	reduce to real tridiagonal	none	none		
39	s	sterf	band	yes	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call CHBTRD first
40	d	sterf	band	yes	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call ZHBTRD first
41	s	stebz	band	yes	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call CHBTRD first;order
42	d	stebz	band	yes	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call ZHBTRD first;order
43	c	steqr	band	yes	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call CHBTRD first (set VECT = 'V' to form Q)
44	z	steqr	band	yes	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call ZHBTRD first (set VECT = 'V' to form Q)
45	c	stedc	band	yes	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call CHBTRD first (set VECT = 'V' to form Q)
46	z	stedc	band	yes	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call ZHBTRD first (set VECT = 'V' to form Q)
47	c	stein	band	yes	eigenvectors for given eigenvalues	none	both	inverse iteration	call CHBTRD first (set VECT = 'V' to form Q);designed to be used with SSTEBZ
48	z	stein	band	yes	eigenvectors for given eigenvalues	none	both	inverse iteration	call ZHBTRD first (set VECT = 'V' to form Q);designed to be used with DSTEBZ
