id	precision	name	storage	standard	purpose	range	eigenvectors	method	note
1	s	gehrd	full	standard	reduce to upper Hessenberg	none	none		
2	d	gehrd	full	standard	reduce to upper Hessenberg	none	none		
3	s	orghr	full	standard	generate Q	none	none		call SGEHRD first
4	d	orghr	full	standard	generate Q	none	none		call DGEHRD first
5	s	hseqr	full	standard	"eigenvalues, Schur form, Schur vectors of H"	No	Schur	QR	call SGEHRD first;SGEHRD+SORGHR+SHSEQR for Schur vectors of A
6	d	hseqr	full	standard	"eigenvalues, Schur form, Schur vectors of H"	No	Schur	QR	call DGEHRD first;DGEHRD+DORGHR+DHSEQR for Schur vectors of A
7	s	trevc	full	standard	eigenvectors of Schur form	none	original		SGEHRD+SORGHR+SHSEQR+STREVC for eigenvectors of T
8	d	trevc	full	standard	eigenvectors of Schur form	none	original		DGEHRD+DORGHR+DHSEQR+DTREVC for eigenvectors of T
9	s	gebak	full	standard	eigenvectors of A	none	original	back transformation	SGEHRD+SORGHR+SHSEQR+STREVC+SGEBAK for eigenvectors of A
10	d	gebak	full	standard	eigenvectors of A	none	original	back transformation	DGEHRD+DORGHR+DHSEQR+DTREVC+DGEBAK for eigenvectors of A
11	s	hsein	full	standard	eigenvectors of H for given eigenvalues	none	original	inverse iteration	SGEHRD+SHSEQR+SHSEIN for eigenvectors of H
12	d	hsein	full	standard	eigenvectors of H for given eigenvalues	none	original	inverse iteration	DGEHRD+DHSEQR+DHSEIN for eigenvectors of H
13	s	ormhr	full	standard	multiply by Q for eigenvectors of A	none	none		SGEHRD+SHSEQR+SHSEIN+SORMHR for eigenvectors of A
14	d	ormhr	full	standard	multiply by Q for eigenvectors of A	none	none		DGEHRD+DHSEQR+DHSEIN+DORMHR for eigenvectors of A
15	s	trexc	full	standard	reorders Schur factorization	none	none		
16	d	trexc	full	standard	reorders Schur factorization	none	none		
17	s	trsen	full	standard	"reorders Schur factorization,condition numbers"	none	none		
18	d	trsen	full	standard	"reorders Schur factorization,condition numbers"	none	none		
19	s	disna	full	standard	condition numbers of eigenvectors	none	none		
20	d	disna	full	standard	condition numbers of eigenvectors	none	none		
21	s	trsna	full	standard	condition numbers of eigenvectors	none	none		
22	d	trsna	full	standard	condition numbers of eigenvectors	none	none		
23	s	gebal	full	standard	balance matrix	none	none		improve eigenvalue accuracy
24	d	gebal	full	standard	balance matrix	none	none		improve eigenvalue accuracy
