id	precision	name	storage	purpose	range	eigenvectors	method	note
1	s	sytrd	full	reduce to tridiagonal	none	none		
2	d	sytrd	full	reduce to tridiagonal	none	none		
3	s	sterf	full	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call SSYTRD first
4	d	sterf	full	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call DSYTRD first
5	s	stebz	full	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call SSYTRD first;order
6	d	stebz	full	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call DSYTRD first;order
7	s	orgtr	full	generate Q	none	none		
8	d	orgtr	full	generate Q	none	none		
9	s	steqr	full	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call SSYTRD and SORGTR first
10	d	steqr	full	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call DSYTRD and DORGTR first
11	s	stedc	full	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call SSYTRD and SORGTR first
12	d	stedc	full	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call DSYTRD and DORGTR first
13	s	ormtr	full	multiply by Q	none	none		
14	d	ormtr	full	multiply by Q	none	none		
15	s	stegr	full	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call SSYTRD before and SORMTR after for eigenvectors of original matrix
16	d	stegr	full	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call DSYTRD before and DORMTR after for eigenvectors of original matrix
17	s	stein	full	eigenvectors for given eigenvalues	none	both	inverse iteration	call SSYTRD before and SORMTR after for eigenvectors of original matrix;designed to be used with SSTEBZ
18	d	stein	full	eigenvectors for given eigenvalues	none	both	inverse iteration	call DSYTRD before and DORMTR after for eigenvectors of original matrix;designed to be used with DSTEBZ
19	s	sptrd	packed	reduce to tridiagonal	none	none		
20	d	sptrd	packed	reduce to tridiagonal	none	none		
21	s	sterf	packed	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call SSPTRD first
22	d	sterf	packed	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call DSPTRD first
23	s	stebz	packed	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call SSPTRD first;order
24	d	stebz	packed	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call DSPTRD first;order
25	s	opgtr	packed	generate Q	none	none		
26	d	opgtr	packed	generate Q	none	none		
27	s	steqr	packed	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call SSPTRD and SOPGTR first
28	d	steqr	packed	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call DSPTRD and DOPGTR first
29	s	stedc	packed	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call SSPTRD and SOPGTR first
30	d	stedc	packed	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call DSPTRD and DOPGTR first
31	s	opmtr	packed	multiply by Q	none	none		
32	d	opmtr	packed	multiply by Q	none	none		
33	s	stegr	packed	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call SSPTRD before and SOPMTR after for eigenvectors of original matrix
34	d	stegr	packed	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call DSPTRD before and DOPMTR after for eigenvectors of original matrix
35	s	stein	packed	eigenvectors for given eigenvalues	none	both	inverse iteration	call SSPTRD before and SOPMTR after for eigenvectors of original matrix;designed to be used with SSTEBZ
36	d	stein	packed	eigenvectors for given eigenvalues	none	both	inverse iteration	call DSPTRD before and DOPMTR after for eigenvectors of original matrix;designed to be used with DSTEBZ
37	s	sbtrd	band	reduce to tridiagonal	none	none		
38	d	sbtrd	band	reduce to tridiagonal	none	none		
39	s	sterf	band	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call SSBTRD first
40	d	sterf	band	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call DSBTRD first
41	s	stebz	band	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call SSBTRD first;order
42	d	stebz	band	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call DSBTRD first;order
43	s	steqr	band	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call SSBTRD first (set VECT = 'V' to form Q)
44	d	steqr	band	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call DSBTRD first (set VECT = 'V' to form Q)
45	s	stedc	band	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call SSBTRD first (set VECT = 'V' to form Q)
46	d	stedc	band	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call DSBTRD first (set VECT = 'V' to form Q)
47	s	stein	band	eigenvectors for given eigenvalues	none	both	inverse iteration	call SSBTRD first (set VECT = 'V' to form Q);designed to be used with SSTEBZ
48	d	stein	band	eigenvectors for given eigenvalues	none	both	inverse iteration	call DSBTRD first (set VECT = 'V' to form Q);designed to be used with DSTEBZ
