id	precision	name	storage	standard	purpose	range	eigenvectors	method	note	
1	s	geev	full	standard	eigenvalues;optionally left right eigenvectors	No	original		simple	Doxygen/docs/html/sgeev_8f.html
2	d	geev	full	standard	eigenvalues;optionally left right eigenvectors	No	original		simple	Doxygen/docs/html/dgeev_8f.html
3	c	geev	full	standard	eigenvalues;optionally left right eigenvectors	No	original		simple	Doxygen/docs/html/cgeev_8f.html
4	z	geev	full	standard	eigenvalues;optionally left right eigenvectors	No	original		simple	Doxygen/docs/html/zgeev_8f.html
5	s	geevx	full	standard	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original		expert	Doxygen/docs/html/sgeevx_8f.html
6	d	geevx	full	standard	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original		expert	Doxygen/docs/html/dgeevx_8f.html
7	c	geevx	full	standard	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original		expert	Doxygen/docs/html/cgeevx_8f.html
8	z	geevx	full	standard	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original		expert	Doxygen/docs/html/zgeevx_8f.html
9	s	gees	full	standard	eigenvalues;Schur form;optionally Schur vectors	No	Schur		simple	Doxygen/docs/html/sgees_8f.html
10	d	gees	full	standard	eigenvalues;Schur form;optionally Schur vectors	No	Schur		simple	Doxygen/docs/html/dgees_8f.html
11	c	gees	full	standard	eigenvalues;Schur form;optionally Schur vectors	No	Schur		simple	Doxygen/docs/html/cgees_8f.html
12	z	gees	full	standard	eigenvalues;Schur form;optionally Schur vectors	No	Schur		simple	Doxygen/docs/html/zgees_8f.html
13	s	geesx	full	standard	eigenvalues;Schur form;optionally Schur vectors;condition numbers	No	Schur		expert	Doxygen/docs/html/sgeesx_8f.html
14	d	geesx	full	standard	eigenvalues;Schur form;optionally Schur vectors;condition numbers	No	Schur		expert	Doxygen/docs/html/dgeesx_8f.html
15	c	geesx	full	standard	eigenvalues;Schur form;optionally Schur vectors;condition numbers	No	Schur		expert	Doxygen/docs/html/cgeesx_8f.html
16	z	geesx	full	standard	eigenvalues;Schur form;optionally Schur vectors;condition numbers	No	Schur		expert	Doxygen/docs/html/zgeesx_8f.html	
37	s	ggev	full	generalized	"eigenvalues, left, right eigenvectors, simple driver,"					Doxygen/docs/html/sggev_8f.html	557
38	d	ggev	full	generalized	"eigenvalues, left, right eigenvectors, simple driver,"					Doxygen/docs/html/dggev_8f.html	558
39	c	ggev	full	generalized	"eigenvalues, left, right eigenvectors, simple driver,"					Doxygen/docs/html/cggev_8f.html	559
40	z	ggev	full	generalized	"eigenvalues, left, right eigenvectors, simple driver,"					Doxygen/docs/html/zggev_8f.html	560
41	s	ggevx	full	generalized	"eigenvalues, left, right eigenvectors, expert driver, balance matrix, condition numbers"					Doxygen/docs/html/sggevx_8f.html	561
42	d	ggevx	full	generalized	"eigenvalues, left, right eigenvectors, expert driver, balance matrix, condition numbers"					Doxygen/docs/html/dggevx_8f.html	562
43	c	ggevx	full	generalized	"eigenvalues, left, right eigenvectors, expert driver, balance matrix, condition numbers"					Doxygen/docs/html/cggevx_8f.html	563
44	z	ggevx	full	generalized	"eigenvalues, left, right eigenvectors, expert driver, balance matrix, condition numbers"					Doxygen/docs/html/zggevx_8f.html	564
45	s	gges	full	generalized	"eigenvalues, Schur factorization, simple driver,"					Doxygen/docs/html/sgges_8f.html	565
46	d	gges	full	generalized	"eigenvalues, Schur factorization, simple driver,"					Doxygen/docs/html/dgges_8f.html	566
47	c	gges	full	generalized	"eigenvalues, Schur factorization, simple driver,"					Doxygen/docs/html/cgges_8f.html	567
48	z	gges	full	generalized	"eigenvalues, Schur factorization, simple driver,"					Doxygen/docs/html/zgges_8f.html	568
49	s	ggesx	full	generalized	"eigenvalues, Schur factorization, expert driver, condition numbers"					Doxygen/docs/html/sggesx_8f.html	569
50	d	ggesx	full	generalized	"eigenvalues, Schur factorization, expert driver, condition numbers"					Doxygen/docs/html/dggesx_8f.html	570
51	c	ggesx	full	generalized	"eigenvalues, Schur factorization, expert driver, condition numbers"					Doxygen/docs/html/cggesx_8f.html	571
52	z	ggesx	full	generalized	"eigenvalues, Schur factorization, expert driver, condition numbers"					Doxygen/docs/html/zggesx_8f.html	572
