id	precision	name	storage	standard	purpose	range	eigenvectors	method	note		
1	s	syev	full	standard	all eigenvalues;optionally eigenvectors	No	original	QR	reduced to tridiagonal form first	Doxygen/docs/html/ssyev_8f.html	457
2	d	syev	full	standard	all eigenvalues;optionally eigenvectors	No	original	QR	reduced to tridiagonal form first	Doxygen/docs/html/dsyev_8f.html	458
3	s	syevd	full	standard	all eigenvalues;optionally eigenvectors	No	original	divide;conquer	faster but more memory	Doxygen/docs/html/ssyevd_8f.html	459
4	d	syevd	full	standard	all eigenvalues;optionally eigenvectors	No	original	divide;conquer	faster but more memory	Doxygen/docs/html/dsyevd_8f.html	460
5	s	syevr	full	standard	selected eigenvalues;optionally eigenvectors	Yes	original	Relatively robust representation	reduced to tridiagonal form first	Doxygen/docs/html/ssyevr_8f.html	461
6	d	syevr	full	standard	selected eigenvalues;optionally eigenvectors	Yes	original	Relatively robust representation	reduced to tridiagonal form first	Doxygen/docs/html/dsyevr_8f.html	462
7	s	syevx	full	standard	selected eigenvalues;optionally eigenvectors	Yes	original	N/A	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	Doxygen/docs/html/ssyevx_8f.html	463
8	d	syevx	full	standard	selected eigenvalues;optionally eigenvectors	Yes	original	N/A	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	Doxygen/docs/html/dsyevx_8f.html	464
9	s	spev	packed	standard	all eigenvalues;optionally eigenvectors	No	original	QR	reduced to tridiagonal form first	Doxygen/docs/html/sspev_8f.html	465
10	d	spev	packed	standard	all eigenvalues;optionally eigenvectors	No	original	QR	reduced to tridiagonal form first	Doxygen/docs/html/dspev_8f.html	466
11	s	spevd	packed	standard	all eigenvalues;optionally eigenvectors	No	original	divide;conquer	faster but more memory	Doxygen/docs/html/sspevd_8f.html	467
12	d	spevd	packed	standard	all eigenvalues;optionally eigenvectors	No	original	divide;conquer	faster but more memory	Doxygen/docs/html/dspevd_8f.html	468
13	s	spevx	packed	standard	selected eigenvalues;optionally eigenvectors	Yes	original	N/A	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	Doxygen/docs/html/sspevx_8f.html	469
14	d	spevx	packed	standard	selected eigenvalues;optionally eigenvectors	Yes	original	N/A	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	Doxygen/docs/html/dspevx_8f.html	470
15	s	sbev	band	standard	all eigenvalues;optionally eigenvectors	No	original	QR	reduced to tridiagonal form first	Doxygen/docs/html/ssbev_8f.html	471
16	d	sbev	band	standard	all eigenvalues;optionally eigenvectors	No	original	QR	reduced to tridiagonal form first	Doxygen/docs/html/dsbev_8f.html	472
17	s	sbevd	band	standard	all eigenvalues;optionally eigenvectors	No	original	divide;conquer	faster but more memory	Doxygen/docs/html/ssbevd_8f.html	473
18	d	sbevd	band	standard	all eigenvalues;optionally eigenvectors	No	original	divide;conquer	faster but more memory	Doxygen/docs/html/dsbevd_8f.html	474
19	s	sbevx	band	standard	selected eigenvalues;optionally eigenvectors	Yes	original	N/A	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	Doxygen/docs/html/ssbevx_8f.html	475
20	d	sbevx	band	standard	selected eigenvalues;optionally eigenvectors	Yes	original	N/A	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	Doxygen/docs/html/dsbevx_8f.html	476
21	s	stev	tridiagonal	standard	all eigenvalues;optionally eigenvectors	No	original	QR;QL	N/A	Doxygen/docs/html/sstev_8f.html	477
22	d	stev	tridiagonal	standard	all eigenvalues;optionally eigenvectors	No	original	QR;QL	N/A	Doxygen/docs/html/dstev_8f.html	478
23	s	stevd	tridiagonal	standard	all eigenvalues;optionally eigenvectors	No	original	divide;conquer	faster but more memory;call SSTEDC	Doxygen/docs/html/sstevd_8f.html	479
24	d	stevd	tridiagonal	standard	all eigenvalues;optionally eigenvectors	No	original	divide;conquer	faster but more memory;call DSTEDC	Doxygen/docs/html/dstevd_8f.html	480
25	s	stevr	tridiagonal	standard	selected eigenvalues;optionally eigenvectors	Yes	original	Relatively robust representation	SSTEVR calls SSTEMR when the full spectrum is requested	Doxygen/docs/html/sstevr_8f.html	481
26	d	stevr	tridiagonal	standard	selected eigenvalues;optionally eigenvectors	Yes	original	Relatively robust representation	DSTEVR calls DSTEMR when the full spectrum is requested	Doxygen/docs/html/dstevr_8f.html	482
27	s	stevx	tridiagonal	standard	selected eigenvalues;optionally eigenvectors	Yes	original	QR	reducing the tridiagonal matrix to diagonal;bisection is used to determine selected eigenvalues 	Doxygen/docs/html/sstevx_8f.html	483
28	d	stevx	tridiagonal	standard	selected eigenvalues;optionally eigenvectors	Yes	original	QR	reducing the tridiagonal matrix to diagonal;bisection is used to determine selected eigenvalues 	Doxygen/docs/html/dstevx_8f.html	484
29	s	sygv	full	generalized	all eigenvalues;optionally eigenvectors	No	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem	Doxygen/docs/html/ssygv_8f.html	512
30	d	sygv	full	generalized	all eigenvalues;optionally eigenvectors	No	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem	Doxygen/docs/html/dsygv_8f.html	523
31	s	sygvd	full	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/ssygvd_8f.html	524
32	d	sygvd	full	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/dsygvd_8f.html	535
33	s	sygvx	full	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem	Doxygen/docs/html/ssygvx_8f.html	536
34	d	sygvx	full	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem	Doxygen/docs/html/dsygvx_8f.html	515
35	s	spgv	packed	generalized	all eigenvalues;optionally eigenvectors	No	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem	Doxygen/docs/html/sspgv_8f.html	516
36	d	spgv	packed	generalized	all eigenvalues;optionally eigenvectors	No	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem	Doxygen/docs/html/dspgv_8f.html	527
37	s	spgvd	packed	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/sspgvd_8f.html	528
38	d	spgvd	packed	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/dspgvd_8f.html	539
39	s	spgvx	packed	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem	Doxygen/docs/html/sspgvx_8f.html	540
40	d	spgvx	packed	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	Cholesky factorization	reduced to a standard symmetric eigenvalue problem	Doxygen/docs/html/dspgvx_8f.html	513
41	s	sbgv	band	generalized	all eigenvalues;optionally eigenvectors	No	original	N/A	reduced to a standard band symmetric problem	Doxygen/docs/html/ssbgv_8f.html	514
42	d	sbgv	band	generalized	all eigenvalues;optionally eigenvectors	No	original	N/A	reduced to a standard band symmetric problem	Doxygen/docs/html/dsbgv_8f.html	525
43	s	sbgvd	band	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/ssbgvd_8f.html	526
44	d	sbgvd	band	generalized	all eigenvalues;optionally eigenvectors	No	original	divide and conquer	faster but more memory	Doxygen/docs/html/dsbgvd_8f.html	537
45	s	sbgvx	band	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	N/A	reduced to a standard band symmetric problem	Doxygen/docs/html/ssbgvx_8f.html	538
46	d	sbgvx	band	generalized	selected eigenvalues;optionally eigenvectors	Yes	original	N/A	reduced to a standard band symmetric problem	Doxygen/docs/html/dsbgvx_8f.html	
