id	precision	name	storage								
1	s	syev	symmetric	full	No	original	QR		reduced to tridiagonal form first	Doxygen/docs/html/ssyev_8f.html	457
2	d	syev	symmetric	full	No	original	QR		reduced to tridiagonal form first	Doxygen/docs/html/dsyev_8f.html	458
3	s	syevd	symmetric	full	No	original	divide and conquer	primary	faster but more memory	Doxygen/docs/html/ssyevd_8f.html	459
4	d	syevd	symmetric	full	No	original	divide and conquer	primary	faster but more memory	Doxygen/docs/html/dsyevd_8f.html	460
5	s	syevr	symmetric	full	Yes	original	Relatively robust representation	primary	reduced to tridiagonal form first	Doxygen/docs/html/ssyevr_8f.html	461
6	d	syevr	symmetric	full	Yes	original	Relatively robust representation	primary	reduced to tridiagonal form first	Doxygen/docs/html/dsyevr_8f.html	462
7	s	syevx	symmetric	full	Yes	original	N/A		"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/ssyevx_8f.html	463
8	d	syevx	symmetric	full	Yes	original	N/A		"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/dsyevx_8f.html	464
9	s	spev	symmetric	packed	No	original	QR		reduced to tridiagonal form first	Doxygen/docs/html/sspev_8f.html	465
10	d	spev	symmetric	packed	No	original	QR		reduced to tridiagonal form first	Doxygen/docs/html/dspev_8f.html	466
11	s	spevd	symmetric	packed	No	original	divide and conquer	primary	faster but more memory	Doxygen/docs/html/sspevd_8f.html	467
12	d	spevd	symmetric	packed	No	original	divide and conquer	primary	faster but more memory	Doxygen/docs/html/dspevd_8f.html	468
13	s	spevx	symmetric	packed	Yes	original	N/A		"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/sspevx_8f.html	469
14	d	spevx	symmetric	packed	Yes	original	N/A		"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/dspevx_8f.html	470
15	s	sbev	symmetric	band	No	original	QR		reduced to tridiagonal form first	Doxygen/docs/html/ssbev_8f.html	471
16	d	sbev	symmetric	band	No	original	QR		reduced to tridiagonal form first	Doxygen/docs/html/dsbev_8f.html	472
17	s	sbevd	symmetric	band	No	original	divide and conquer	primary	faster but more memory	Doxygen/docs/html/ssbevd_8f.html	473
18	d	sbevd	symmetric	band	No	original	divide and conquer	primary	faster but more memory	Doxygen/docs/html/dsbevd_8f.html	474
19	s	sbevx	symmetric	band	Yes	original	N/A		"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/ssbevx_8f.html	475
20	d	sbevx	symmetric	band	Yes	original	N/A		"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/dsbevx_8f.html	476
21	s	stev	symmetric	tridiagonal	No	original	QR and QL		N/A	Doxygen/docs/html/sstev_8f.html	477
22	d	stev	symmetric	tridiagonal	No	original	QR and QL		N/A	Doxygen/docs/html/dstev_8f.html	478
23	s	stevd	symmetric	tridiagonal	No	original	divide and conquer		faster but more memory;call SSTEDC	Doxygen/docs/html/sstevd_8f.html	479
24	d	stevd	symmetric	tridiagonal	No	original	divide and conquer		faster but more memory;call DSTEDC	Doxygen/docs/html/dstevd_8f.html	480
25	s	stevr	symmetric	tridiagonal	Yes	original	Relatively robust representation		SSTEVR calls SSTEMR when the full spectrum is requested	Doxygen/docs/html/sstevr_8f.html	481
26	d	stevr	symmetric	tridiagonal	Yes	original	Relatively robust representation		DSTEVR calls DSTEMR when the full spectrum is requested	Doxygen/docs/html/dstevr_8f.html	482
27	s	stevx	symmetric	tridiagonal	Yes	original	QR		reducing the tridiagonal matrix to diagonal;bisection is used to determine selected eigenvalues 	Doxygen/docs/html/sstevx_8f.html	483
28	d	stevx	symmetric	tridiagonal	Yes	original	QR		reducing the tridiagonal matrix to diagonal;bisection is used to determine selected eigenvalues 	Doxygen/docs/html/dstevx_8f.html	484
29	c	heev	Hermitian	full	No	original	QR		Þrst reduced to real tridiagonal form	Doxygen/docs/html/cheev_8f.html	487
30	z	heev	Hermitian	full	No	original	QR		Þrst reduced to real tridiagonal form	Doxygen/docs/html/zheev_8f.html	488
31	c	heevd	Hermitian	full	No	original	divide and conquer	primary	faster but more memory	Doxygen/docs/html/cheevd_8f.html	489
32	z	heevd	Hermitian	full	No	original	divide and conquer	primary	faster but more memory	Doxygen/docs/html/zheevd_8f.html	490
33	c	heevr	Hermitian	full	Yes	original	Relatively robust representation	primary	reduced to real tridiagonal form first	Doxygen/docs/html/cheevr_8f.html	491
34	z	heevr	Hermitian	full	Yes	original	Relatively robust representation	primary	reduced to real tridiagonal form first	Doxygen/docs/html/zheevr_8f.html	492
35	c	heevx	Hermitian	full	Yes	original	N/A		"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	Doxygen/docs/html/cheevx_8f.html	493
