1,s,syev,no,eigen,standard,symmetric,full,no,no/yes,none,none,,457
2,d,syev,no,eigen,standard,symmetric,full,no,no/yes,none,none,,458
3,s,syevd,no,eigen,standard,symmetric,full,no,yes,none,none,faster while more memory is required,459
4,d,syevd,no,eigen,standard,symmetric,full,no,yes,none,none,faster while more memory is required,460
5,s,syevx,no,eigen,standard,symmetric,full,yes,no/yes,none,none,,461
6,d,syevx,no,eigen,standard,symmetric,full,yes,no/yes,none,none,,462
7,s,syevr,no,eigen,standard,symmetric,full,yes,yes,none,none,recommended if a subset of eigenvalues is needed,463
8,d,syevr,no,eigen,standard,symmetric,full,yes,yes,none,none,recommended if a subset of eigenvalues is needed,464
9,s,spev,no,eigen,standard,symmetric,packed,no,no/yes,none,none,,465
10,d,spev,no,eigen,standard,symmetric,packed,no,no/yes,none,none,,466
11,s,spevd,no,eigen,standard,symmetric,packed,no,yes,none,none,faster while more memory is required,467
12,d,spevd,no,eigen,standard,symmetric,packed,no,yes,none,none,faster while more memory is required,468
13,s,spevx,no,eigen,standard,symmetric,packed,yes,no/yes,none,none,,469
14,d,spevx,no,eigen,standard,symmetric,packed,yes,no/yes,none,none,,470
15,s,sbev,no,eigen,standard,symmetric,band,no,no/yes,none,none,,471
16,d,sbev,no,eigen,standard,symmetric,band,no,no/yes,none,none,,472
17,s,sbevd,no,eigen,standard,symmetric,band,no,yes,none,none,faster while more memory is required,473
18,d,sbevd,no,eigen,standard,symmetric,band,no,yes,none,none,faster while more memory is required,474
19,s,sbevx,no,eigen,standard,symmetric,band,yes,no/yes,none,none,,475
20,d,sbevx,no,eigen,standard,symmetric,band,yes,no/yes,none,none,,476
21,s,sterf,no,eigen,standard,symmetric,tridiagonal,no,no,none,none,,477
22,d,sterf,no,eigen,standard,symmetric,tridiagonal,no,no,none,none,,478
23,s,stevd,no,eigen,standard,symmetric,tridiagonal,no,yes,none,none,faster while more memory is required,479
24,d,stevd,no,eigen,standard,symmetric,tridiagonal,no,yes,none,none,faster while more memory is required,480
25,s,stev,no,eigen,standard,symmetric,tridiagonal,no,yes,none,none,,481
26,d,stev,no,eigen,standard,symmetric,tridiagonal,no,yes,none,none,,482
27,s,stebz,no,eigen,standard,symmetric,tridiagonal,yes,no,none,none,,483
28,d,stebz,no,eigen,standard,symmetric,tridiagonal,yes,no,none,none,,484
29,s,stevr,no,eigen,standard,symmetric,tridiagonal,yes,yes,none,none,recommended if a subset of eigenvalues is needed,485
30,d,stevr,no,eigen,standard,symmetric,tridiagonal,yes,yes,none,none,recommended if a subset of eigenvalues is needed,486
31,s,stevx,no,eigen,standard,symmetric,tridiagonal,yes,yes,none,none,,487
32,d,stevx,no,eigen,standard,symmetric,tridiagonal,yes,yes,none,none,,488
33,s,geev,no,eigen,standard,general,full,none,no/yes,no,no,,489
34,d,geev,no,eigen,standard,general,full,none,no/yes,no,no,,490
35,s,geevx,no,eigen,standard,general,full,none,no/yes,no,yes,,491
36,d,geevx,no,eigen,standard,general,full,none,no/yes,no,yes,,492
37,s,gees,no,eigen,standard,general,full,none,no,yes,no,,493
38,d,gees,no,eigen,standard,general,full,none,no,yes,no,,494
39,s,geesx,no,eigen,standard,general,full,none,no,yes,yes,,495
40,d,geesx,no,eigen,standard,general,full,none,no,yes,yes,,496
41,s,sytrd,no,eigen,standard,SPD,full,none,no/yes,none,none,use before SPTEQR,498
42,s,orgtr,no,eigen,standard,SPD,full,none,yes,none,none,use after SSYTRD and before SPTEQR,501
43,d,sytrd,no,eigen,standard,SPD,full,none,no/yes,none,none,use before DPTEQR,500
44,d,orgtr,no,eigen,standard,SPD,full,none,yes,none,none,use after DSYTRD and before DPTEQR ,502
45,s,sptrd,no,eigen,standard,SPD,packed,none,no/yes,none,none,use before SPTEQR,503
46,s,opgtr,no,eigen,standard,SPD,packed,none,yes,none,none,use after SSPTRD and before SPTEQR,505
47,d,sptrd,no,eigen,standard,SPD,packed,none,no/yes,none,none,use before DPTEQR,504
48,d,opgtr,no,eigen,standard,SPD,packed,none,yes,none,none,use after DSPTRD and before DPTEQR,506
49,s,sbtrd,no,eigen,standard,SPD,band,none,no/yes,none,none,use before SPTEQR,507
50,d,sbtrd,no,eigen,standard,SPD,band,none,no/yes,none,none,use before DPTEQR,508
51,s,pteqr,no,eigen,standard,SPD,full/packed/band/tridiagonal,none,no/yes,none,none,,497
52,d,pteqr,no,eigen,standard,SPD,full/packed/band/tridiagonal,none,no/yes,none,none,,499
53,s,hseqr,no,eigen,standard,upper Hessenberg,full,none,no/yes,none,none,,509
54,s,hsein,no,eigen,standard,upper Hessenberg,full,none,yes,none,none,use after SHSEQR,536
55,d,hseqr,no,eigen,standard,upper Hessenberg,full,none,no/yes,none,none,,510
