1,s,gesvd,no,svd,standard,general,full,yes,no/yes,,646
2,d,gesvd,no,svd,standard,general,full,yes,no/yes,,647
3,c,gesvd,yes,svd,standard,general,full,yes,no/yes,,648
4,z,gesvd,yes,svd,standard,general,full,yes,no/yes,,649
5,s,gesdd,no,svd,standard,general,full,yes,yes,faster while more memory is required,650
6,d,gesdd,no,svd,standard,general,full,yes,yes,faster while more memory is required,651
7,c,gesdd,yes,svd,standard,general,full,yes,yes,faster while more memory is required,652
8,z,gesdd,yes,svd,standard,general,full,yes,yes,faster while more memory is required,653
9,s,gbbrd,no,svd,standard,general,band,yes,no,use before SBDSQR,654
10,d,gbbrd,no,svd,standard,general,band,yes,no,use before DBDSQR,655
11,c,gbbrd,yes,svd,standard,general,band,yes,no,use before CBDSQR,656
12,z,gbbrd,yes,svd,standard,general,band,yes,no,use before ZBDSQR,657
13,s,bdsqr,no,svd,standard,general,bidiagonal/band,yes,no,,658
14,d,bdsqr,no,svd,standard,general,bidiagonal/band,yes,no,,659
15,c,bdsqr,yes,svd,standard,general,bidiagonal/band,yes,no,,660
16,z,bdsqr,yes,svd,standard,general,bidiagonal/band,yes,no,,661
17,s,bdsdc,no,svd,standard,general,bidiagonal,yes,yes,,662
18,d,bdsdc,no,svd,standard,general,bidiagonal,yes,yes,,663
19,s,gejsv,no,svd,standard,general,full,yes,yes,,664
20,d,gejsv,no,svd,standard,general,full,yes,yes,,665
21,s,gesvj,no,svd,standard,general,full,yes,yes,,666
22,d,gesvj,no,svd,standard,general,full,yes,yes,,667
23,s,gebrd,no,bidiagonal,standard,general,full,,,,668
24,d,gebrd,no,bidiagonal,standard,general,full,,,,669
25,c,gebrd,yes,bidiagonal,standard,general,full,,,,670
26,z,gebrd,yes,bidiagonal,standard,general,full,,,,671
27,s,gbbrd,no,bidiagonal,standard,general,band,,,,672
28,d,gbbrd,no,bidiagonal,standard,general,band,,,,673
29,c,gbbrd,yes,bidiagonal,standard,general,band,,,,674
30,z,gbbrd,yes,bidiagonal,standard,general,band,,,,675
31,s,ggsvd,no,svd,generalized,general,full,yes,no/yes,,676
32,d,ggsvd,no,svd,generalized,general,full,yes,no/yes,,677
33,c,ggsvd,yes,svd,generalized,general,full,yes,no/yes,,678
34,z,ggsvd,yes,svd,generalized,general,full,yes,no/yes,,679
35,s,tgsja,no,svd,generalized,upper triangular,full,yes,no/yes,,680
36,d,tgsja,no,svd,generalized,upper triangular,full,yes,no/yes,,681
37,c,tgsja,yes,svd,generalized,upper triangular,full,yes,no/yes,,682
38,z,tgsja,yes,svd,generalized,upper triangular,full,yes,no/yes,,683
